1q96C_M5.pdb     -149.703529 kBT
1q96C_M399.pdb     -87.637712 kBT
1q96C_M12.pdb     -136.674977 kBT
1q96C_M321.pdb     -88.694051 kBT
1q96C_M468.pdb     -83.346368 kBT
1q96C_M96.pdb     -138.127604 kBT
1q96C_M101.pdb     -135.971848 kBT
1q96C_M275.pdb     -118.861717 kBT
1q96C_M277.pdb     -112.301556 kBT
1q96C_M213.pdb     -114.239767 kBT
1q96C_M330.pdb     -88.152139 kBT
1q96C_M142.pdb     -91.342172 kBT
1q96C_M147.pdb     -115.121511 kBT
1q96C_M232.pdb     -93.573357 kBT
1q96C_M481.pdb     -87.571152 kBT
1q96C_M444.pdb     -103.442689 kBT
1q96C_M132.pdb     -110.006671 kBT
1q96C_M220.pdb     -80.840669 kBT
1q96C_M73.pdb     -125.615407 kBT
1q96C_M326.pdb     -121.880460 kBT
1q96C_M222.pdb     -115.781457 kBT
1q96C_M225.pdb     -105.143087 kBT
1q96C_M175.pdb     -97.114819 kBT
1q96C_M494.pdb     -93.526870 kBT
1q96C_M19.pdb     -142.723058 kBT
1q96C_M106.pdb     -116.647398 kBT
1q96C_M206.pdb     -107.640893 kBT
1q96C_M415.pdb     -117.589117 kBT
1q96C_M313.pdb     -98.473582 kBT
1q96C_M77.pdb     -126.414364 kBT
1q96C_M10.pdb     -145.822448 kBT
1q96C_M395.pdb     -110.431914 kBT
1q96C_M407.pdb     -98.170833 kBT
1q96C_M215.pdb     -74.420453 kBT
1q96C_M190.pdb     -109.054049 kBT
1q96C_M155.pdb     -108.118802 kBT
1q96C_M107.pdb     -95.470889 kBT
1q96C_M385.pdb     -104.164090 kBT
1q96C_M44.pdb     -129.244824 kBT
1q96C_M302.pdb     -110.398657 kBT
1q96C_M429.pdb     -75.154405 kBT
1q96C_M188.pdb     -125.480849 kBT
1q96C_M463.pdb     -101.834199 kBT
1q96C_M1.pdb     -156.954180 kBT
1q96C_M389.pdb     -75.983098 kBT
1q96C_M205.pdb     -116.505621 kBT
1q96C_M38.pdb     -137.514923 kBT
1q96C_M273.pdb     -104.376045 kBT
1q96C_M290.pdb     -80.305797 kBT
1q96C_M152.pdb     -105.743504 kBT
1q96C_M260.pdb     -95.287755 kBT
1q96C_M143.pdb     -109.516003 kBT
1q96C_M56.pdb     -122.487974 kBT
1q96C_M490.pdb     -105.683205 kBT
1q96C_M233.pdb     -89.610717 kBT
1q96C_M467.pdb     -112.720523 kBT
1q96C_M228.pdb     -136.344116 kBT
1q96C_M157.pdb     -100.726666 kBT
1q96C_M128.pdb     -108.089191 kBT
1q96C_M150.pdb     -117.777748 kBT
1q96C_M197.pdb     -106.894087 kBT
1q96C_M62.pdb     -131.657150 kBT
1q96C_M426.pdb     -99.104657 kBT
1q96C_M11.pdb     -152.525752 kBT
1q96C_M484.pdb     -82.550020 kBT
1q96C_M357.pdb     -90.838701 kBT
1q96C_M400.pdb     -111.829067 kBT
1q96C_M207.pdb     -113.743864 kBT
1q96C_M122.pdb     -119.808161 kBT
1q96C_M235.pdb     -103.866613 kBT
1q96C_M439.pdb     -97.965253 kBT
1q96C_M319.pdb     -121.263597 kBT
1q96C_M125.pdb     -140.148281 kBT
1q96C_M464.pdb     -118.372553 kBT
1q96C_M21.pdb     -141.550543 kBT
1q96C_M452.pdb     -81.278416 kBT
1q96C_M208.pdb     -117.639716 kBT
1q96C_M453.pdb     -95.466332 kBT
1q96C_M408.pdb     -133.417208 kBT
1q96C_M64.pdb     -92.865690 kBT
1q96C_M332.pdb     -99.120351 kBT
1q96C_M43.pdb     -145.700755 kBT
1q96C_M307.pdb     -118.633001 kBT
1q96C_M372.pdb     -113.948230 kBT
1q96C_M419.pdb     -130.048712 kBT
1q96C_M165.pdb     -106.527940 kBT
1q96C_M459.pdb     -121.702399 kBT
1q96C_M265.pdb     -100.013083 kBT
1q96C_M139.pdb     -106.737450 kBT
1q96C_M98.pdb     -129.772532 kBT
1q96C_M148.pdb     -114.702466 kBT
1q96C_M60.pdb     -127.195698 kBT
1q96C_M328.pdb     -102.966740 kBT
1q96C_M500.pdb     -87.104771 kBT
1q96C_M251.pdb     -126.743428 kBT
1q96C_M342.pdb     -126.862942 kBT
1q96C_M137.pdb     -111.927342 kBT
1q96C_M191.pdb     -126.053879 kBT
1q96C_M365.pdb     -94.105469 kBT
1q96C_M271.pdb     -96.689790 kBT
1q96C_M411.pdb     -101.056248 kBT
1q96C_M131.pdb     -110.644974 kBT
1q96C_M250.pdb     -111.341476 kBT
1q96C_M97.pdb     -124.803937 kBT
1q96C_M462.pdb     -106.000623 kBT
1q96C_M363.pdb     -103.947308 kBT
1q96C_M340.pdb     -110.854469 kBT
1q96C_M54.pdb     -135.801249 kBT
1q96C_M28.pdb     -140.445333 kBT
1q96C_M203.pdb     -111.353081 kBT
1q96C_M374.pdb     -119.580290 kBT
1q96C_M7.pdb     -146.011684 kBT
1q96C_M300.pdb     -97.671453 kBT
1q96C_M79.pdb     -117.026868 kBT
1q96C_M310.pdb     -115.921411 kBT
1q96C_M30.pdb     -132.350177 kBT
1q96C_M91.pdb     -116.350621 kBT
1q96C_M301.pdb     -116.506582 kBT
1q96C_M441.pdb     -84.577698 kBT
1q96C_M339.pdb     -79.514223 kBT
1q96C_M448.pdb     -98.898575 kBT
1q96C_M476.pdb     -87.952092 kBT
1q96C_M348.pdb     -75.821392 kBT
1q96C_M472.pdb     -109.379290 kBT
1q96C_M68.pdb     -106.946043 kBT
1q96C_M283.pdb     -115.903794 kBT
1q96C_M317.pdb     -97.578927 kBT
1q96C_M289.pdb     -106.623487 kBT
1q96C_M480.pdb     -80.324164 kBT
1q96C_M434.pdb     -108.933932 kBT
1q96C_M294.pdb     -102.692112 kBT
1q96C_M421.pdb     -76.343940 kBT
1q96C_M160.pdb     -79.188123 kBT
1q96C_M102.pdb     -126.800881 kBT
1q96C_M483.pdb     -97.857876 kBT
1q96C_M280.pdb     -92.206275 kBT
1q96C_M200.pdb     -100.476274 kBT
1q96C_M367.pdb     -83.419647 kBT
1q96C_M380.pdb     -115.525506 kBT
1q96C_M269.pdb     -98.652095 kBT
1q96C_M268.pdb     -126.984513 kBT
1q96C_M151.pdb     -102.534223 kBT
1q96C_M138.pdb     -96.343131 kBT
1q96C_M496.pdb     -103.611602 kBT
1q96C_M239.pdb     -121.596419 kBT
1q96C_M63.pdb     -115.113574 kBT
1q96C_M455.pdb     -79.790578 kBT
1q96C_M442.pdb     -128.433280 kBT
1q96C_M262.pdb     -105.904174 kBT
1q96C_M210.pdb     -104.827125 kBT
1q96C_M69.pdb     -139.897164 kBT
